dense,moe,thick,reinf_ring,hoop,drumhead,tune_att,tune_res,RMS,Spectral Flatness,ZCR,Spectral Kurtosis,Spectral Entropy,Spectral Slope,Inharmonicity,Effective Duration,name_file,wood,f0,hoop_top_thickness_mm,hoop_material_density_kg_m3,hoop_effective_thickness_mm,batter_film_total_mil,batter_control_ring_mil,batter_effective_total_mil,batter_is_coated_proxy,batter_dry_vents_proxy,batter_damping_proxy,config_id,wood_acoustic_velocity_m_s,wood_acoustic_impedance_rayl
550,14.367,5.5,True,STEEL,SIMPLE,85,70,-0.0192852278970931,-0.0984134525719843,-0.1688787311253726,-0.1165211885170007,-0.2725749144985704,0.3810355203024397,0.0551739065651689,0.2678571428571428,0021.wav,araucaria,168.321,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,5,161.62245568552095,88892.35062703652
550,14.367,5.5,True,STEEL,SIMPLE,85,80,-0.0773745883309866,0.5866217603820103,0.4133403022646166,-0.3063302155436887,-0.5770458805406014,-0.7764166039334962,0.5787801305748965,-0.9464285714285714,0022.wav,araucaria,195.133,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,5,161.62245568552095,88892.35062703652
550,14.367,5.5,True,STEEL,SIMPLE,85,85,-0.4177773170663252,0.6311031152889802,0.4318497597026505,-0.3042505258188736,-0.6417146305779462,-0.8103553775206721,0.2032509483950199,-0.9107142857142856,0023.wav,araucaria,216.176,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,5,161.62245568552095,88892.35062703652
550,14.367,5.5,True,STEEL,SIMPLE,80,85,-0.35225486220588,0.4544873322694486,0.2512359856610781,-0.2006556124575153,-0.5094174869947351,-0.3818735042881672,0.5163046781593615,0.1964285714285713,0024.wav,araucaria,182.231,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,5,161.62245568552095,88892.35062703652
550,14.367,5.5,True,STEEL,SIMPLE,70,85,-0.1631546876938668,-0.1796351073977001,-0.3905773314615227,-0.112988086027522,-0.1115911312264907,0.432431453457908,0.0139523594314487,0.5178571428571428,0025.wav,araucaria,169.615,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,5,161.62245568552095,88892.35062703652
550,14.367,5.5,True,STEEL,SIMPLE,60,85,0.991639134547452,-0.4903338234068418,-0.5086925993286917,1.7573806488328818,0.4481487227137004,1.6575584590648025,-0.3635745321352983,2.4821428571428568,0026.wav,araucaria,158.633,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,5,161.62245568552095,88892.35062703652
550,14.367,5.5,True,STEEL,SIMPLE,60,80,2.7316977000337967,-0.8046449623958409,-1.0463435433588235,3.2174026221255114,-0.2040612964607282,1.7704661691914498,-0.5603039469633786,2.2678571428571423,0027.wav,araucaria,156.383,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,5,161.62245568552095,88892.35062703652
550,14.367,5.5,True,STEEL,SIMPLE,60,70,2.2602073142567063,0.0492796283503038,0.1608172590183096,1.6979725863390656,0.906591028855021,1.658407644731423,-0.2126874491412636,1.232142857142857,0028.wav,araucaria,131.25,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,5,161.62245568552095,88892.35062703652
550,14.367,5.5,True,STEEL,SIMPLE,70,70,2.030140542593319,0.3063178307223602,0.356536597486946,2.455790806509606,0.5980983244730108,0.8478831054542807,0.0506164110925158,0.9107142857142856,0029.wav,araucaria,139.557,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,5,161.62245568552095,88892.35062703652
550,14.367,5.5,True,STEEL,SIMPLE,70,80,-0.3470687975629057,-0.4870296955419954,-0.5401267485651384,-0.0462569655514241,-0.7674736113195567,-0.1110482118245339,0.0572146052541178,0.1964285714285713,0030.wav,araucaria,156.383,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,5,161.62245568552095,88892.35062703652
550,14.367,5.5,True,STEEL,SIMPLE,80,80,0.2518995298398441,0.3944548661456119,0.0609967886695639,-0.1137297794808736,-0.6957136015621124,-0.3994491567460601,0.2169313330915443,-0.4821428571428572,0031.wav,araucaria,183.75,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,5,161.62245568552095,88892.35062703652
550,14.367,5.5,True,STEEL,SIMPLE,80,70,-0.2417037476438323,0.0347924018365252,-0.0087658813390625,-0.2051767081239931,-0.6423290997306026,-0.3252097525465644,0.234855394309985,-0.0178571428571428,0032.wav,araucaria,158.633,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,5,161.62245568552095,88892.35062703652
530,9.31647,5.5,True,STEEL,SIMPLE,60,60,1.5163286523992043,-0.8918183209475673,-1.0060199480396723,1.5809986805830136,-0.1610821048279064,0.7717466558750854,-1.0124915031626769,0.3035714285714286,0033.wav,teca,117.287,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,1,132.5829750873726,70268.97679630748
530,9.31647,5.5,True,STEEL,SIMPLE,70,60,0.2096479352500661,-0.6338636416730911,-0.8883664695793976,0.160762419035691,-0.5695135842049421,-0.1417264718057488,-0.828582985260084,-0.3035714285714286,0034.wav,teca,123.876,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,1,132.5829750873726,70268.97679630748
530,9.31647,5.5,True,STEEL,SIMPLE,80,60,-0.0038670108748448,-0.1456756614897966,-0.0170762867982796,-0.1795492192219066,-0.4346819428983652,-0.4326467122786341,-0.5696400606619915,-0.4821428571428572,0035.wav,teca,134.451,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,1,132.5829750873726,70268.97679630748
530,9.31647,5.5,True,STEEL,SIMPLE,85,60,-0.2616477498609757,-0.1076428885878319,-0.2103892695294305,-0.2477080289920349,-0.6878992210120657,-0.5583008412476406,-0.6516827275384215,-0.5178571428571428,0036.wav,teca,143.182,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,1,132.5829750873726,70268.97679630748
530,9.31647,5.5,True,STEEL,SIMPLE,85,70,-0.3735063882365146,0.7107801305380376,0.555712141047802,-0.326482804247152,-0.2115431728367247,-0.6268801867832255,0.5276025482318432,-0.875,0037.wav,teca,147.987,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,1,132.5829750873726,70268.97679630748
530,9.31647,5.5,True,STEEL,SIMPLE,85,80,-0.4071415573051452,0.3784601012246463,0.4419045024918138,-0.3316264259202934,-0.4759852292286792,-0.7958319333037228,0.2638326720726875,-0.9464285714285714,0038.wav,teca,169.615,2.3,7850.0,2.3,15.0,0.0,15.0,0.0,0.0,0.0,1,132.5829750873726,70268.97679630748
